address,city,category,price_text,price_eur,features,link
"Kurzemes prospekts 72a, Imanta",Rīga,Tirdzniecība,23 000 €,23000,42 m²200 m²3 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-imanta-kurzemes-prospekts/7406424?i=4
"Lielupes iela , Jūrmala 23, Jaundubulti",Jūrmala,,628 000 €,628000,2875 m²,https://www.city24.lv/real-estate/commercials-for-sale/jurmala-jaundubulti-lielupes-iela--jurmala/3025594?i=5
"Čiekurkalna 4. šķērslīnija 9, Čiekurkalns",Rīga,Birojs,124 000 €,124000,125 m²6 ist.1/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-ciekurkalns-ciekurkalna-4-skerslinija/1237307?i=6
"Blaumaņa iela 8, Centrs",Rīga,Tirdzniecība,450 000 €,450000,518 m²10 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-blaumana-iela/6499027?i=7
"Blaumaņa iela 8, Centrs",Rīga,Birojs,340 000 €,340000,340.4 m²10 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-blaumana-iela/5611375?i=8
"Blaumaņa iela 8, Centrs",Rīga,,340 000 €,340000,340.4 m²10 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-blaumana-iela/4460446?i=9
"Kapseļu iela 18, Āgenskalns",Rīga,Birojs,856 000 €,856000,1487 m²3781 m²30 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-agenskalns-kapselu-iela/9252640?i=10
"Zaubes iela 2, Centrs",Rīga,Investīciju objekts,980 000 €,980000,998 m²20 ist.1/5 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-zaubes-iela/6555944?i=11
"Prūšu iela 4, Ķengarags",Rīga,"Birojs, Pakalpojumi, Tirdzniecība",122 000 €,122000,165 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-kengarags-prusu-iela/2221183?i=12
"Hanzas iela 3B, Centrs",Rīga,Tirdzniecība,203 000 €,203000,58 m²1 ist.1/7 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-hanzas-iela/1350432?i=13
"Hanzas iela 3B, Centrs",Rīga,Tirdzniecība,357 000 €,357000,102 m²1 ist.1/7 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-hanzas-iela/6942008?i=14
"Valmieras iela 31, Centrs",Rīga,,270 000 €,270000,504 m²1134 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-valmieras-iela/3412962?i=15
"Tomsona iela 39 k-1, Centrs",Rīga,Birojs,210 000 €,210000,115.7 m²5 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-tomsona-iela/8270548?i=16
"Vītolu iela 2, Sarkandaugava",Rīga,Tirdzniecība,123 299 €,123299,44.1 m²1/7 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-sarkandaugava-vitolu-iela/8756504?i=17
"Vītolu iela 2, Sarkandaugava",Rīga,Tirdzniecība,181 379 €,181379,67.8 m²1 ist.1/7 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-sarkandaugava-vitolu-iela/1451039?i=18
"Vītolu iela 2, Sarkandaugava",Rīga,Tirdzniecība,126 929 €,126929,45.5 m²1 ist.1/7 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-sarkandaugava-vitolu-iela/1008060?i=19
"Jūrmalas gatve 69, Imanta",Rīga,Birojs,1 100 000 €,1100000,580 m²2900 m²15 ist.1/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-imanta-jurmalas-gatve/5571891?i=20
"Stabu iela 35, Centrs",Rīga,"Birojs, Investīciju objekts",1 118 000 €,1118000,895 m²500 m²3/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-stabu-iela/6057928?i=21
"Tērbatas iela 2, Centrs",Rīga,"Ēdināšanas pakalpojumi, Birojs",15 000 000 €,15000000,5839.9 m²4689 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-terbatas-iela/8166727?i=22
"Baltā iela 3, Iļģuciems",Rīga,Noliktava/ražošana,560 000 €,560000,3876 m²5346 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-ilguciems-balta-iela/4778818?i=23
"Sēravotu iela 3, Ķemeri",Jūrmala,,840 000 €,840000,960 m²1960 m²7 ist.,https://www.city24.lv/real-estate/commercials-for-sale/jurmala-kemeri-seravotu-iela/2073752?i=24
"Latgales iela 250 k-3, Ķengarags",Rīga,Tirdzniecība,110 000 €,110000,153 m²4 ist.1/5 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-kengarags-latgales-iela/7521281?i=25
Ģimnāzijas iela 25A,Daugavpils,"Birojs, Tirdzniecība, Pakalpojumi",55 000 €,55000,96.1 m²,https://www.city24.lv/real-estate/commercials-for-sale/daugavpils-gimnazijas-iela/2836539?i=26
"Kungu iela 5, Vecrīga",Rīga,Investīciju objekts,3 900 000 €,3900000,1500 m²34 ist.6/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-vecriga-kungu-iela/6031675?i=27
Krišjāņa Barona iela 46A,Jelgava,,380 000 €,380000,1060.8 m²3613 m²,https://www.city24.lv/real-estate/commercials-for-sale/jelgava-krisjana-barona-iela/6135633?i=28
"Krišjāņa Valdemāra iela 85, Centrs",Rīga,,123 000 €,123000,91 m²1/5 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-krisjana-valdemara-iela/5852713?i=29
Jaunceltnes iela 53,"Aizkraukle, Aizkraukles nov.","Tirdzniecība, Pakalpojumi",19 800 €,19800,42 m²,https://www.city24.lv/real-estate/commercials-for-sale/aizkraukles-nov-aizkraukle-jaunceltnes-iela/2687307?i=30
"Vecpilsētas iela, Vecrīga",Rīga,Ēdināšanas pakalpojumi,825 000 €,825000,285 m²1/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-vecriga-vecpilsetas-iela/4843305?i=31
Mālpils iela 1,"Siguldas pag., Siguldas nov.",,1 950 000 €,1950000,2536 m²,https://www.city24.lv/real-estate/commercials-for-sale/siguldas-nov-siguldas-pag-malpils-iela/2365545?i=32
Peldu iela 14,Liepāja,,139 000 €,139000,453 m²932 m²,https://www.city24.lv/real-estate/commercials-for-sale/liepaja-peldu-iela/8399899?i=33
"Mellužu prospekts 14, Melluži",Jūrmala,Investīciju objekts,2 850 000 €,2850000,995 m²2209 m²0/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/jurmala-melluzi-melluzu-prospekts/4146457?i=34
"Brīvības iela 138, Grīziņkalns",Rīga,"Tirdzniecība, Pakalpojumi",86 800 €,86800,86.8 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-grizinkalns-brivibas-iela/4969452?i=35
Liepziedu iela 10,"Krogsils, Ķekavas pag., Ķekavas nov.",Noliktava/ražošana,700 400 €,700400,2230 m²16241 m²,https://www.city24.lv/real-estate/commercials-for-sale/kekavas-pag-krogsils-liepziedu-iela/6918376?i=36
"Brīvības iela 138, Grīziņkalns",Rīga,"Tirdzniecība, Pakalpojumi",108 300 €,108300,108.3 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-grizinkalns-brivibas-iela/3775613?i=37
"Brīvības iela 138, Grīziņkalns",Rīga,"Tirdzniecība, Pakalpojumi",93 800 €,93800,93.8 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-grizinkalns-brivibas-iela/5535119?i=38
"Kapseļu iela 18, Āgenskalns",Rīga,,856 000 €,856000,1321 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-agenskalns-kapselu-iela/4621110?i=39
Miera iela 3,"Roja, Rojas pag., Talsu nov.",,270 000 €,270000,6981 m²4 ist.1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/rojas-pag-roja-miera-iela/7440918?i=40
